scenarioid,time,tn,eventtype,suspicion,xpos,ypos,xvel,yvel
1,1,0,CREATE,0,-30,0,0,0
1,2,22,CREATE,80,20,30,-5,5
1,3,33,CREATE,40,80,60,-10,-10
1,4,55,CREATE,20,25,-25,-10,5
1,5,88,CREATE,70,80,-10,20,-10
1,6,73,CREATE,20,120,30,-30,-10
1,7,44,CREATE,45,90,150,15,-5
1,8,93,CREATE,30,10,120,-20,-5
1,9,77,CREATE,20,200,40,-10,5
1,10,18,CREATE,30,170,20,20,-5
1,15,66,CREATE,20,40,-60,25,35
1,20,99,CREATE,40,300,100,20,-10
1,30,44,UPDATE,80,0,0,-10,-20
1,35,66,UPDATE,60,0,0,-25,-10
1,40,88,DELETE,0,0,0,0,0
1,45,22,DELETE,0,0,0,0,0
1,50,11,CREATE,90,5,80,-20,-30
1,52,93,UPDATE,60,0,0,-15,-10
1,55,33,UPDATE,50,0,0,-25,-5
1,60,52,CREATE,80,-30,120,-5,-40
1,70,55,DELETE,0,0,0,0,0
1,80,83,CREATE,90,50,-25,5,20
1,90,44,UPDATE,20,0,0,15,10
1,100,111,CREATE,10,-50,20,-5,15
